GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
896ed785,haar,0,0.1,selective,11186112,42712,11143400,/tf_res_net_for_image_classification/resnet
896ed785,haar,0,0.1,selective,512000,54186,457814,/tf_res_net_for_image_classification/classifier.1
ae9b092b,haar,0,0.1,selective,11186112,42712,11143400,/tf_res_net_for_image_classification/resnet
ae9b092b,haar,0,0.1,selective,512000,54186,457814,/tf_res_net_for_image_classification/classifier.1
09d2934a,haar,0,0.1,selective,11601214
09d2934a,haar,0,0.1,selective,11186112,42712,11143400,/tf_res_net_for_image_classification/resnet
09d2934a,haar,0,0.1,selective,512000,54186,457814,/tf_res_net_for_image_classification/classifier.1
cbe6,haar,0,0.1,selective,11601214,SavedModels\haar_threshold-0.1_level-0_guid-cbe6\selective_pruned
cbe6,haar,0,0.1,random,0,SavedModels\haar_threshold-0.1_level-0_guid-cbe6\random_pruned
cbe6,haar,0,0.1,selective,11186112,42712,11143400,/tf_res_net_for_image_classification/resnet
cbe6,haar,0,0.1,selective,512000,54186,457814,/tf_res_net_for_image_classification/classifier.1
02619f2d,haar,0,0.1,selective,11601214,SavedModels\haar_threshold-0.1_level-0_guid-02619f2d\selective_pruned
02619f2d,haar,0,0.1,selective,11186112,42712,11143400,/tf_res_net_for_image_classification/resnet
02619f2d,haar,0,0.1,selective,512000,54186,457814,/tf_res_net_for_image_classification/classifier.1
cbe6,haar,0,0.1,selective,11601214,SavedModels\haar_threshold-0.1_level-0_guid-cbe6\selective_pruned
cbe6,haar,0,0.1,random,0,SavedModels\haar_threshold-0.1_level-0_guid-cbe6\random_pruned
cbe6,haar,0,0.1,selective,11186112,42712,11143400,/tf_res_net_for_image_classification/resnet
cbe6,haar,0,0.1,selective,512000,54186,457814,/tf_res_net_for_image_classification/classifier.1
3aa0557a,haar,0,0.1,selective,11601214,SavedModels\haar_threshold-0.1_level-0_guid-3aa0\selective_pruned
3aa0557a,haar,0,0.1,random,0,SavedModels\haar_threshold-0.1_level-0_guid-3aa0\random_pruned
3aa0557a,haar,0,0.1,selective,11186112,42712,11143400,/tf_res_net_for_image_classification/resnet
3aa0557a,haar,0,0.1,selective,512000,54186,457814,/tf_res_net_for_image_classification/classifier.1
1777dc4c,haar,0,0.1,selective,11601214,SavedModels\haar_threshold-0.1_level-0_guid-1777\selective_pruned
1777dc4c,haar,0,0.1,random,0,SavedModels\haar_threshold-0.1_level-0_guid-1777\random_pruned
1777dc4c,haar,0,0.1,selective,11186112,42712,11143400,/tf_res_net_for_image_classification/resnet
1777dc4c,haar,0,0.1,selective,512000,54186,457814,/tf_res_net_for_image_classification/classifier.1
b264d1cf,haar,0,0.1,selective,11601214,SavedModels\haar_threshold-0.1_level-0_guid-b264\selective_pruned
b264d1cf,haar,0,0.1,random,0,SavedModels\haar_threshold-0.1_level-0_guid-b264\random_pruned
b264d1cf,haar,0,0.1,selective,11186112,42712,11143400,/tf_res_net_for_image_classification/resnet
b264d1cf,haar,0,0.1,selective,512000,54186,457814,/tf_res_net_for_image_classification/classifier.1
