GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
a24fbe8c,bior4.4,5,0.236,random,9408,7187,2221,resnet.embedder.embedder.convolution
a24fbe8c,bior4.4,5,0.236,random,36864,28164,8700,resnet.encoder.stages.0.layers.0.layer.0.convolution
a24fbe8c,bior4.4,5,0.236,random,36864,28164,8700,resnet.encoder.stages.0.layers.0.layer.1.convolution
a24fbe8c,bior4.4,5,0.236,random,36864,28164,8700,resnet.encoder.stages.0.layers.1.layer.0.convolution
a24fbe8c,bior4.4,5,0.236,random,36864,28164,8700,resnet.encoder.stages.0.layers.1.layer.1.convolution
a24fbe8c,bior4.4,5,0.236,random,8192,6258,1934,resnet.encoder.stages.1.layers.0.shortcut.convolution
a24fbe8c,bior4.4,5,0.236,random,73728,56328,17400,resnet.encoder.stages.1.layers.0.layer.0.convolution
a24fbe8c,bior4.4,5,0.236,random,147456,112656,34800,resnet.encoder.stages.1.layers.0.layer.1.convolution
a24fbe8c,bior4.4,5,0.236,random,147456,112656,34800,resnet.encoder.stages.1.layers.1.layer.0.convolution
a24fbe8c,bior4.4,5,0.236,random,147456,112656,34800,resnet.encoder.stages.1.layers.1.layer.1.convolution
a24fbe8c,bior4.4,5,0.236,random,32768,25034,7734,resnet.encoder.stages.2.layers.0.shortcut.convolution
a24fbe8c,bior4.4,5,0.236,random,294912,225313,69599,resnet.encoder.stages.2.layers.0.layer.0.convolution
a24fbe8c,bior4.4,5,0.236,random,589824,450625,139199,resnet.encoder.stages.2.layers.0.layer.1.convolution
a24fbe8c,bior4.4,5,0.236,random,589824,450625,139199,resnet.encoder.stages.2.layers.1.layer.0.convolution
a24fbe8c,bior4.4,5,0.236,random,589824,450625,139199,resnet.encoder.stages.2.layers.1.layer.1.convolution
a24fbe8c,bior4.4,5,0.236,random,131072,100139,30933,resnet.encoder.stages.3.layers.0.shortcut.convolution
a24fbe8c,bior4.4,5,0.236,random,1179648,901251,278397,resnet.encoder.stages.3.layers.0.layer.0.convolution
a24fbe8c,bior4.4,5,0.236,random,2359296,1802502,556794,resnet.encoder.stages.3.layers.0.layer.1.convolution
a24fbe8c,bior4.4,5,0.236,random,2359296,1802502,556794,resnet.encoder.stages.3.layers.1.layer.0.convolution
a24fbe8c,bior4.4,5,0.236,random,2359296,1802502,556794,resnet.encoder.stages.3.layers.1.layer.1.convolution
