GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
40e12978,bior4.4,5,0.382,min,9408,5815,3593,resnet.embedder.embedder.convolution
40e12978,bior4.4,5,0.382,min,36864,22782,14082,resnet.encoder.stages.0.layers.0.layer.0.convolution
40e12978,bior4.4,5,0.382,min,36864,22782,14082,resnet.encoder.stages.0.layers.0.layer.1.convolution
40e12978,bior4.4,5,0.382,min,36864,22782,14082,resnet.encoder.stages.0.layers.1.layer.0.convolution
40e12978,bior4.4,5,0.382,min,36864,22782,14082,resnet.encoder.stages.0.layers.1.layer.1.convolution
40e12978,bior4.4,5,0.382,min,8192,5063,3129,resnet.encoder.stages.1.layers.0.shortcut.convolution
40e12978,bior4.4,5,0.382,min,73728,45564,28164,resnet.encoder.stages.1.layers.0.layer.0.convolution
40e12978,bior4.4,5,0.382,min,147456,91128,56328,resnet.encoder.stages.1.layers.0.layer.1.convolution
40e12978,bior4.4,5,0.382,min,147456,91128,56328,resnet.encoder.stages.1.layers.1.layer.0.convolution
40e12978,bior4.4,5,0.382,min,147456,91128,56328,resnet.encoder.stages.1.layers.1.layer.1.convolution
40e12978,bior4.4,5,0.382,min,32768,20251,12517,resnet.encoder.stages.2.layers.0.shortcut.convolution
40e12978,bior4.4,5,0.382,min,294912,182256,112656,resnet.encoder.stages.2.layers.0.layer.0.convolution
40e12978,bior4.4,5,0.382,min,589824,364512,225312,resnet.encoder.stages.2.layers.0.layer.1.convolution
40e12978,bior4.4,5,0.382,min,589824,364512,225312,resnet.encoder.stages.2.layers.1.layer.0.convolution
40e12978,bior4.4,5,0.382,min,589824,364512,225312,resnet.encoder.stages.2.layers.1.layer.1.convolution
40e12978,bior4.4,5,0.382,min,131072,81003,50069,resnet.encoder.stages.3.layers.0.shortcut.convolution
40e12978,bior4.4,5,0.382,min,1179648,729023,450625,resnet.encoder.stages.3.layers.0.layer.0.convolution
40e12978,bior4.4,5,0.382,min,2359296,1458045,901251,resnet.encoder.stages.3.layers.0.layer.1.convolution
40e12978,bior4.4,5,0.382,min,2359296,1458045,901251,resnet.encoder.stages.3.layers.1.layer.0.convolution
40e12978,bior4.4,5,0.382,min,2359296,1458045,901251,resnet.encoder.stages.3.layers.1.layer.1.convolution
