GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
97999131,bior4.4,5,1.0,min,9408,1,9407,resnet.embedder.embedder.convolution
97999131,bior4.4,5,1.0,min,36864,1,36863,resnet.encoder.stages.0.layers.0.layer.0.convolution
97999131,bior4.4,5,1.0,min,36864,1,36863,resnet.encoder.stages.0.layers.0.layer.1.convolution
97999131,bior4.4,5,1.0,min,36864,1,36863,resnet.encoder.stages.0.layers.1.layer.0.convolution
97999131,bior4.4,5,1.0,min,36864,1,36863,resnet.encoder.stages.0.layers.1.layer.1.convolution
97999131,bior4.4,5,1.0,min,8192,1,8191,resnet.encoder.stages.1.layers.0.shortcut.convolution
97999131,bior4.4,5,1.0,min,73728,1,73727,resnet.encoder.stages.1.layers.0.layer.0.convolution
97999131,bior4.4,5,1.0,min,147456,1,147455,resnet.encoder.stages.1.layers.0.layer.1.convolution
97999131,bior4.4,5,1.0,min,147456,1,147455,resnet.encoder.stages.1.layers.1.layer.0.convolution
97999131,bior4.4,5,1.0,min,147456,1,147455,resnet.encoder.stages.1.layers.1.layer.1.convolution
97999131,bior4.4,5,1.0,min,32768,1,32767,resnet.encoder.stages.2.layers.0.shortcut.convolution
97999131,bior4.4,5,1.0,min,294912,1,294911,resnet.encoder.stages.2.layers.0.layer.0.convolution
97999131,bior4.4,5,1.0,min,589824,2,589822,resnet.encoder.stages.2.layers.0.layer.1.convolution
97999131,bior4.4,5,1.0,min,589824,2,589822,resnet.encoder.stages.2.layers.1.layer.0.convolution
97999131,bior4.4,5,1.0,min,589824,2,589822,resnet.encoder.stages.2.layers.1.layer.1.convolution
97999131,bior4.4,5,1.0,min,131072,1,131071,resnet.encoder.stages.3.layers.0.shortcut.convolution
97999131,bior4.4,5,1.0,min,1179648,3,1179645,resnet.encoder.stages.3.layers.0.layer.0.convolution
97999131,bior4.4,5,1.0,min,2359296,5,2359291,resnet.encoder.stages.3.layers.0.layer.1.convolution
97999131,bior4.4,5,1.0,min,2359296,5,2359291,resnet.encoder.stages.3.layers.1.layer.0.convolution
97999131,bior4.4,5,1.0,min,2359296,5,2359291,resnet.encoder.stages.3.layers.1.layer.1.convolution
