GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
97999131,bior4.4,5,1.0,random,9408,1,9407,resnet.embedder.embedder.convolution
97999131,bior4.4,5,1.0,random,36864,1,36863,resnet.encoder.stages.0.layers.0.layer.0.convolution
97999131,bior4.4,5,1.0,random,36864,1,36863,resnet.encoder.stages.0.layers.0.layer.1.convolution
97999131,bior4.4,5,1.0,random,36864,1,36863,resnet.encoder.stages.0.layers.1.layer.0.convolution
97999131,bior4.4,5,1.0,random,36864,1,36863,resnet.encoder.stages.0.layers.1.layer.1.convolution
97999131,bior4.4,5,1.0,random,8192,1,8191,resnet.encoder.stages.1.layers.0.shortcut.convolution
97999131,bior4.4,5,1.0,random,73728,1,73727,resnet.encoder.stages.1.layers.0.layer.0.convolution
97999131,bior4.4,5,1.0,random,147456,1,147455,resnet.encoder.stages.1.layers.0.layer.1.convolution
97999131,bior4.4,5,1.0,random,147456,1,147455,resnet.encoder.stages.1.layers.1.layer.0.convolution
97999131,bior4.4,5,1.0,random,147456,1,147455,resnet.encoder.stages.1.layers.1.layer.1.convolution
97999131,bior4.4,5,1.0,random,32768,1,32767,resnet.encoder.stages.2.layers.0.shortcut.convolution
97999131,bior4.4,5,1.0,random,294912,1,294911,resnet.encoder.stages.2.layers.0.layer.0.convolution
97999131,bior4.4,5,1.0,random,589824,1,589823,resnet.encoder.stages.2.layers.0.layer.1.convolution
97999131,bior4.4,5,1.0,random,589824,1,589823,resnet.encoder.stages.2.layers.1.layer.0.convolution
97999131,bior4.4,5,1.0,random,589824,1,589823,resnet.encoder.stages.2.layers.1.layer.1.convolution
97999131,bior4.4,5,1.0,random,131072,1,131071,resnet.encoder.stages.3.layers.0.shortcut.convolution
97999131,bior4.4,5,1.0,random,1179648,1,1179647,resnet.encoder.stages.3.layers.0.layer.0.convolution
97999131,bior4.4,5,1.0,random,2359296,1,2359295,resnet.encoder.stages.3.layers.0.layer.1.convolution
97999131,bior4.4,5,1.0,random,2359296,1,2359295,resnet.encoder.stages.3.layers.1.layer.0.convolution
97999131,bior4.4,5,1.0,random,2359296,1,2359295,resnet.encoder.stages.3.layers.1.layer.1.convolution
