GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
194b27eb,db2,10,0.382,random,9408,9408,0,resnet.embedder.embedder.convolution
194b27eb,db2,10,0.382,random,36864,36723,141,resnet.encoder.stages.0.layers.0.layer.0.convolution
194b27eb,db2,10,0.382,random,36864,36723,141,resnet.encoder.stages.0.layers.0.layer.1.convolution
194b27eb,db2,10,0.382,random,36864,36723,141,resnet.encoder.stages.0.layers.1.layer.0.convolution
194b27eb,db2,10,0.382,random,36864,36723,141,resnet.encoder.stages.0.layers.1.layer.1.convolution
194b27eb,db2,10,0.382,random,8192,8160,32,resnet.encoder.stages.1.layers.0.shortcut.convolution
194b27eb,db2,10,0.382,random,73728,73446,282,resnet.encoder.stages.1.layers.0.layer.0.convolution
194b27eb,db2,10,0.382,random,147456,146892,564,resnet.encoder.stages.1.layers.0.layer.1.convolution
194b27eb,db2,10,0.382,random,147456,146892,564,resnet.encoder.stages.1.layers.1.layer.0.convolution
194b27eb,db2,10,0.382,random,147456,146892,564,resnet.encoder.stages.1.layers.1.layer.1.convolution
194b27eb,db2,10,0.382,random,32768,32642,126,resnet.encoder.stages.2.layers.0.shortcut.convolution
194b27eb,db2,10,0.382,random,294912,293785,1127,resnet.encoder.stages.2.layers.0.layer.0.convolution
194b27eb,db2,10,0.382,random,589824,587570,2254,resnet.encoder.stages.2.layers.0.layer.1.convolution
194b27eb,db2,10,0.382,random,589824,587570,2254,resnet.encoder.stages.2.layers.1.layer.0.convolution
194b27eb,db2,10,0.382,random,589824,587570,2254,resnet.encoder.stages.2.layers.1.layer.1.convolution
194b27eb,db2,10,0.382,random,131072,130571,501,resnet.encoder.stages.3.layers.0.shortcut.convolution
194b27eb,db2,10,0.382,random,1179648,1175141,4507,resnet.encoder.stages.3.layers.0.layer.0.convolution
194b27eb,db2,10,0.382,random,2359296,2350283,9013,resnet.encoder.stages.3.layers.0.layer.1.convolution
194b27eb,db2,10,0.382,random,2359296,2350283,9013,resnet.encoder.stages.3.layers.1.layer.0.convolution
194b27eb,db2,10,0.382,random,2359296,2350283,9013,resnet.encoder.stages.3.layers.1.layer.1.convolution
