GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
194b27eb,db2,10,0.382,selective,9408,9408,0,resnet.embedder.embedder.convolution
194b27eb,db2,10,0.382,selective,36864,36723,141,resnet.encoder.stages.0.layers.0.layer.0.convolution
194b27eb,db2,10,0.382,selective,36864,36723,141,resnet.encoder.stages.0.layers.0.layer.1.convolution
194b27eb,db2,10,0.382,selective,36864,36723,141,resnet.encoder.stages.0.layers.1.layer.0.convolution
194b27eb,db2,10,0.382,selective,36864,36723,141,resnet.encoder.stages.0.layers.1.layer.1.convolution
194b27eb,db2,10,0.382,selective,8192,8160,32,resnet.encoder.stages.1.layers.0.shortcut.convolution
194b27eb,db2,10,0.382,selective,73728,73446,282,resnet.encoder.stages.1.layers.0.layer.0.convolution
194b27eb,db2,10,0.382,selective,147456,146892,564,resnet.encoder.stages.1.layers.0.layer.1.convolution
194b27eb,db2,10,0.382,selective,147456,146892,564,resnet.encoder.stages.1.layers.1.layer.0.convolution
194b27eb,db2,10,0.382,selective,147456,146892,564,resnet.encoder.stages.1.layers.1.layer.1.convolution
194b27eb,db2,10,0.382,selective,32768,32642,126,resnet.encoder.stages.2.layers.0.shortcut.convolution
194b27eb,db2,10,0.382,selective,294912,293785,1127,resnet.encoder.stages.2.layers.0.layer.0.convolution
194b27eb,db2,10,0.382,selective,589824,587570,2254,resnet.encoder.stages.2.layers.0.layer.1.convolution
194b27eb,db2,10,0.382,selective,589824,587570,2254,resnet.encoder.stages.2.layers.1.layer.0.convolution
194b27eb,db2,10,0.382,selective,589824,587570,2254,resnet.encoder.stages.2.layers.1.layer.1.convolution
194b27eb,db2,10,0.382,selective,131072,130571,501,resnet.encoder.stages.3.layers.0.shortcut.convolution
194b27eb,db2,10,0.382,selective,1179648,1175141,4507,resnet.encoder.stages.3.layers.0.layer.0.convolution
194b27eb,db2,10,0.382,selective,2359296,2350283,9013,resnet.encoder.stages.3.layers.0.layer.1.convolution
194b27eb,db2,10,0.382,selective,2359296,2350283,9013,resnet.encoder.stages.3.layers.1.layer.0.convolution
194b27eb,db2,10,0.382,selective,2359296,2350283,9013,resnet.encoder.stages.3.layers.1.layer.1.convolution
