GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
df6f810e,db2,10,0.618,random,9408,9408,0,resnet.embedder.embedder.convolution
df6f810e,db2,10,0.618,random,36864,36636,228,resnet.encoder.stages.0.layers.0.layer.0.convolution
df6f810e,db2,10,0.618,random,36864,36636,228,resnet.encoder.stages.0.layers.0.layer.1.convolution
df6f810e,db2,10,0.618,random,36864,36636,228,resnet.encoder.stages.0.layers.1.layer.0.convolution
df6f810e,db2,10,0.618,random,36864,36636,228,resnet.encoder.stages.0.layers.1.layer.1.convolution
df6f810e,db2,10,0.618,random,8192,8141,51,resnet.encoder.stages.1.layers.0.shortcut.convolution
df6f810e,db2,10,0.618,random,73728,73272,456,resnet.encoder.stages.1.layers.0.layer.0.convolution
df6f810e,db2,10,0.618,random,147456,146544,912,resnet.encoder.stages.1.layers.0.layer.1.convolution
df6f810e,db2,10,0.618,random,147456,146544,912,resnet.encoder.stages.1.layers.1.layer.0.convolution
df6f810e,db2,10,0.618,random,147456,146544,912,resnet.encoder.stages.1.layers.1.layer.1.convolution
df6f810e,db2,10,0.618,random,32768,32565,203,resnet.encoder.stages.2.layers.0.shortcut.convolution
df6f810e,db2,10,0.618,random,294912,293089,1823,resnet.encoder.stages.2.layers.0.layer.0.convolution
df6f810e,db2,10,0.618,random,589824,586178,3646,resnet.encoder.stages.2.layers.0.layer.1.convolution
df6f810e,db2,10,0.618,random,589824,586178,3646,resnet.encoder.stages.2.layers.1.layer.0.convolution
df6f810e,db2,10,0.618,random,589824,586178,3646,resnet.encoder.stages.2.layers.1.layer.1.convolution
df6f810e,db2,10,0.618,random,131072,130261,811,resnet.encoder.stages.3.layers.0.shortcut.convolution
df6f810e,db2,10,0.618,random,1179648,1172357,7291,resnet.encoder.stages.3.layers.0.layer.0.convolution
df6f810e,db2,10,0.618,random,2359296,2344715,14581,resnet.encoder.stages.3.layers.0.layer.1.convolution
df6f810e,db2,10,0.618,random,2359296,2344715,14581,resnet.encoder.stages.3.layers.1.layer.0.convolution
df6f810e,db2,10,0.618,random,2359296,2344715,14581,resnet.encoder.stages.3.layers.1.layer.1.convolution
