GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
8aeff2c1,db2,10,0.9,random,9408,9408,0,resnet.embedder.embedder.convolution
8aeff2c1,db2,10,0.9,random,36864,36532,332,resnet.encoder.stages.0.layers.0.layer.0.convolution
8aeff2c1,db2,10,0.9,random,36864,36532,332,resnet.encoder.stages.0.layers.0.layer.1.convolution
8aeff2c1,db2,10,0.9,random,36864,36532,332,resnet.encoder.stages.0.layers.1.layer.0.convolution
8aeff2c1,db2,10,0.9,random,36864,36532,332,resnet.encoder.stages.0.layers.1.layer.1.convolution
8aeff2c1,db2,10,0.9,random,8192,8118,74,resnet.encoder.stages.1.layers.0.shortcut.convolution
8aeff2c1,db2,10,0.9,random,73728,73064,664,resnet.encoder.stages.1.layers.0.layer.0.convolution
8aeff2c1,db2,10,0.9,random,147456,146128,1328,resnet.encoder.stages.1.layers.0.layer.1.convolution
8aeff2c1,db2,10,0.9,random,147456,146128,1328,resnet.encoder.stages.1.layers.1.layer.0.convolution
8aeff2c1,db2,10,0.9,random,147456,146128,1328,resnet.encoder.stages.1.layers.1.layer.1.convolution
8aeff2c1,db2,10,0.9,random,32768,32473,295,resnet.encoder.stages.2.layers.0.shortcut.convolution
8aeff2c1,db2,10,0.9,random,294912,292257,2655,resnet.encoder.stages.2.layers.0.layer.0.convolution
8aeff2c1,db2,10,0.9,random,589824,584515,5309,resnet.encoder.stages.2.layers.0.layer.1.convolution
8aeff2c1,db2,10,0.9,random,589824,584515,5309,resnet.encoder.stages.2.layers.1.layer.0.convolution
8aeff2c1,db2,10,0.9,random,589824,584515,5309,resnet.encoder.stages.2.layers.1.layer.1.convolution
8aeff2c1,db2,10,0.9,random,131072,129892,1180,resnet.encoder.stages.3.layers.0.shortcut.convolution
8aeff2c1,db2,10,0.9,random,1179648,1169031,10617,resnet.encoder.stages.3.layers.0.layer.0.convolution
8aeff2c1,db2,10,0.9,random,2359296,2338062,21234,resnet.encoder.stages.3.layers.0.layer.1.convolution
8aeff2c1,db2,10,0.9,random,2359296,2338062,21234,resnet.encoder.stages.3.layers.1.layer.0.convolution
8aeff2c1,db2,10,0.9,random,2359296,2338062,21234,resnet.encoder.stages.3.layers.1.layer.1.convolution
